0,1,2,3,4,5
1545.79,0.254,1.213,0.958,Normal1,Normal1
1448.19,0.244,1.323,0.905,Normal1,Normal1
1440.63,0.234,1.223,0.914,Normal1,Normal1
1530.82,0.204,1.223,0.892,Normal1,Normal1
1619.26,0.264,1.133,0.971,Normal1,Normal1
1489.685,0.194,1.423,0.952,Normal1,Normal1
1508.59,0.234,1.193,0.959,Normal1,Normal1
1566.12,0.204,1.443,0.927,Normal1,Normal1
1510.25,0.224,1.353,0.97,Normal1,Normal1
1531.78,0.214,1.143,0.949,Normal1,Normal1
1497.01,0.188,1.814,1.067,Condition3,Condition3
1487.13,0.198,1.344,0.987,Condition3,Normal1
1520.34,0.178,1.775,1.062,Condition3,Condition3
1612.24,0.218,1.355,1.124,Condition3,Condition3
1574.6,0.238,1.404,1.015,Condition3,Condition3
1588.88,0.208,1.384,1.075,Condition3,Condition3
1457.6,0.208,1.604,1.085,Condition3,Condition3
1614.87,0.218,1.644,1.032,Condition3,Condition3
1326.05,0.294,1.728,0.987,Condition8,Condition8
1311.99,0.314,1.208,1.032,Condition8,Condition8
1332.22,0.364,1.358,1.055,Condition8,Condition8
1421.34,0.284,1.458,0.99,Condition8,Condition8
1436.79,0.264,1.348,1.062,Condition8,Condition8
1404.82,0.324,1.558,0.956,Condition8,Condition8
1435.65,0.324,1.188,1.013,Condition8,Condition8
1318.94,0.309,1.148,0.98,Condition8,Condition8
1342.75,0.274,1.398,1.012,Condition8,Condition8
