0,1,2,3,4,5
1560.99,0.214,1.523,0.889,Normal1,Normal1
1471.655,0.254,1.413,0.896,Normal1,Normal1
1469.85,0.244,1.143,0.923,Normal1,Normal1
1539.66,0.204,1.573,0.9,Normal1,Normal1
1575.72,0.254,1.443,0.962,Normal1,Normal1
1485.46,0.244,1.613,0.951,Normal1,Normal1
1470.78,0.284,1.243,0.937,Normal1,Normal1
1514.52,0.224,1.093,0.96,Normal1,Normal1
1565.85,0.264,1.528,0.969,Normal1,Normal1
1488.15,0.214,1.563,0.987,Normal1,Condition3
1562.21,0.208,1.864,1.047,Condition3,Condition3
1515.6,0.248,1.825,1.119,Condition3,Condition3
1567.99,0.208,1.775,1.082,Condition3,Condition3
1601.54,0.208,1.445,0.998,Condition3,Condition3
1477.35,0.198,1.524,1.048,Condition3,Condition3
1547.28,0.208,1.324,1.038,Condition3,Condition3
1561.43,0.208,1.564,1.015,Condition3,Condition3
1577.37,0.188,1.694,1.064,Condition3,Condition3
1426.88,0.244,1.438,1.005,Condition8,Condition8
1476.23,0.304,1.188,1.065,Condition8,Condition3
1431.5,0.304,1.458,1.032,Condition8,Condition8
1421.08,0.264,1.198,0.953,Condition8,Condition8
1416.84,0.274,1.208,1.056,Condition8,Condition8
1316.78,0.314,1.138,1.045,Condition8,Condition8
1432.37,0.344,1.278,1.058,Condition8,Condition8
1329.81,0.274,1.658,0.985,Condition8,Condition8
