0,1,2,3,4,5
1482.11,0.274,1.643,0.97,Normal1,Normal1
1565.46,0.254,1.243,0.937,Normal1,Normal1
1545.66,0.204,1.613,0.954,Normal1,Normal1
1441.95,0.274,1.643,0.937,Normal1,Condition8
1585.58,0.204,1.263,0.926,Normal1,Normal1
1462.93,0.214,1.213,0.928,Normal1,Normal1
1528.86,0.204,1.193,0.928,Normal1,Normal1
1548.9,0.244,1.293,0.968,Normal1,Normal1
1580.83,0.224,1.613,0.957,Normal1,Normal1
1497.44,0.194,1.473,0.946,Normal1,Normal1
1510.22,0.248,1.275,1.088,Condition3,Condition3
1530.53,0.258,1.535,1.071,Condition3,Condition3
1545.1,0.238,1.555,1.125,Condition3,Condition3
1467.27,0.218,1.824,1.079,Condition3,Condition3
1456.65,0.218,1.314,0.998,Condition3,Condition3
1601.54,0.188,1.414,1.08,Condition3,Condition3
1525.84,0.208,1.474,1.072,Condition3,Condition3
1594.77,0.178,1.675,1.055,Condition3,Condition3
1351.34,0.354,1.328,0.955,Condition8,Condition8
1352.76,0.354,1.288,0.961,Condition8,Condition8
1355.57,0.324,1.238,1.004,Condition8,Condition8
1450.57,0.274,1.538,1.025,Condition8,Condition3
1402.71,0.314,1.708,1.041,Condition8,Condition8
1398.73,0.344,1.488,1.075,Condition8,Condition8
1401.52,0.324,1.598,1.013,Condition8,Condition8
1414.15,0.344,1.648,1.045,Condition8,Condition8
1368.85,0.354,1.248,1.015,Condition8,Condition8
